Case qj == j - 2: k=1, m=0, j=5, yk=3.0, qj=3, binStr=0111: 0.0
Case qj == j - 2: k=1, m=36, j=39, yk=3.0, qj=37, binStr=0111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=1, m=38, j=41, yk=3.0, qj=39, binStr=011111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=1, m=39, j=42, yk=3.0, qj=40, binStr=0111111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=1, m=40, j=43, yk=3.0, qj=41, binStr=01111111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=1, m=41, j=44, yk=3.0, qj=42, binStr=011111111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=1, m=43, j=46, yk=3.0, qj=44, binStr=01111111111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=1, m=44, j=47, yk=3.0, qj=45, binStr=011111111111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=1, m=45, j=48, yk=3.0, qj=46, binStr=0111111111111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=1, m=46, j=49, yk=3.0, qj=47, binStr=01111111111111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=2, m=38, j=41, yk=15.0, qj=39, binStr=011111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=2, m=39, j=42, yk=15.0, qj=40, binStr=0111111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=2, m=40, j=43, yk=15.0, qj=41, binStr=01111111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=2, m=41, j=44, yk=15.0, qj=42, binStr=011111111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=2, m=43, j=46, yk=15.0, qj=44, binStr=01111111111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=2, m=44, j=47, yk=15.0, qj=45, binStr=011111111111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=2, m=45, j=48, yk=15.0, qj=46, binStr=0111111111111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=2, m=46, j=49, yk=15.0, qj=47, binStr=01111111111111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=3, m=37, j=40, yk=63.0, qj=38, binStr=01111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=3, m=38, j=41, yk=63.0, qj=39, binStr=011111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=3, m=39, j=42, yk=63.0, qj=40, binStr=0111111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=3, m=40, j=43, yk=63.0, qj=41, binStr=01111111111111111111111111111111111111111: -1.0
Case qj == j - 2: k=3, m=41, j=44, yk=63.0, qj=42, binStr=011111111111111111111111111111111111111111: -1.0
